AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
10001,01A,Afognak Lake Airport,58.10944444,-152.90666667
10003,03A,Bear Creek Mining Strip,65.54805556,-161.07166667
10004,04A,Lik Mining Camp,68.08333333,-163.16666667
10005,05A,Little Squaw Airport,67.57000000,-148.18388889
10006,06A,Kizhuyak Bay,57.74527778,-152.88277778
10007,07A,Klawock Seaplane Base,55.55472222,-133.10166667
10008,08A,Elizabeth Island Airport,59.15694444,-151.82916667
10009,09A,Augustin Island,59.36277778,-153.43055556
10010,1B1,Columbia County,42.28888889,-73.71027778
10010,1B1,Columbia County,42.29138889,-73.71027778
10011,1G4,Grand Canyon West,35.98611111,-113.81694444
10011,1G4,Grand Canyon West,35.98611111,-113.81694444
10011,1G4,Grand Canyon West,35.99027778,-113.81638889
10011,1G4,Grand Canyon West,35.99027778,-113.81638889
10012,1N7,Blairstown Airport,40.97111111,-74.99750000
10013,8F3,Crosbyton Municipal,33.62388889,-101.24083333
10014,A01,Blair Lake,64.36361111,-147.36388889
10014,A01,Blair Lake,64.36416667,-147.36138889
10015,A02,Deadmans Bay Airport,57.06666667,-153.93777778
10016,A03,Hallo Bay Airport,58.45750000,-154.02333333
10017,A04,Red Lake Airport,57.27722222,-154.34222222
10018,A05,Shell Lake Airport,61.96388889,-151.55583333
10019,A06,Navigator Airstrip,65.65555556,-165.35638889
10020,A07,Roland Norton Memorial,66.76611111,-160.15277778
10020,A07,Roland Norton Memorial Airstrip,66.76583333,-160.15250000
10021,A08,Pillar Bay Airport,56.59805556,-134.24277778
10022,A09,Johnstone Point Airport,60.48166667,-146.58416667
10022,A09,Johnstone Point Airport,60.48166667,-146.58416667
10022,A09,Johnstone Point Airport,60.48222222,-146.58222222
10022,A09,Johnstone Point Airport,60.48222222,-146.58222222
10022,JOH,Johnstone Point Airport,60.48138889,-146.58222222
10023,KTH,Tikchik Lodge Airport,59.95555556,-158.48055556
10023,TLK,Tikchik Lodge Airport,59.95555556,-158.48055556
10024,A11,Bell Creek Airport,60.78388889,-159.54027778
10025,A12,Cinnabar Airport,60.78527778,-158.86444444
10026,A13,Mountaintop Mine Airport,61.39027778,-157.99555556
10027,A14,Whitebear Airport,61.18888889,-159.85833333
10028,A15,Puviaq Airport,70.71555556,-154.40694444
10028,A15,Puviaq Airport,70.71861111,-154.38833333
10029,A16,Arley Lake Airport,70.74694444,-155.36083333
10030,A17,Port Vita Airport,58.06555556,-153.07250000
10031,A18,Kantishna Airport,63.54111111,-150.99500000
10031,A18,Kantishna Airport,63.54111111,-150.99500000
10031,A18,Kantishna Airport,63.54166667,-150.99388889
10031,A18,Kantishna Airport,63.54166667,-150.99388889
10033,A20,Alpine Airstrip,70.34416667,-150.94472222
10034,A21,Serpentine Airport,65.85138889,-164.70277778
10035,A22,Driftwood Bay Airport,53.97277778,-166.85694444
10036,A23,Bradley Lake Airport,59.77611111,-151.96361111
10037,A24,Chilkat Lake Airport,59.33166667,-135.89666667
10038,A25,Nugget Creek Airport,59.28833333,-136.17388889
10039,A26,Ivotuk Airstrip,68.48333333,-155.73333333
10040,A27,Pogo Mines Airport,64.44000000,-144.93638889
10041,A28,Ayakulik River Airport,57.25388889,-154.42222222
10042,A29,Kiluda Bay Airport,57.32305556,-153.14944444
10043,A30,Terror Lake Airport,57.96388889,-153.05833333
10044,A31,Selief Bay Airport,58.98277778,-153.18333333
10047,A34,Laura Lake Airport,58.36194444,-152.31222222
10049,A36,Deep Bay Airport,55.56027778,-131.65555556
10050,A37,Kako Airport,61.89888889,-161.43972222
10050,A37,Kako Airport,61.89888889,-161.43805556
10051,A38,Molly Creek Airport,64.09722222,-143.26666667
10052,A39,Ptarmigan Lake Airport,61.86611111,-141.15972222
10053,A40,Cape Simpson Airport,71.05694444,-154.72833333
10054,A41,Kogru River Airport,70.57472222,-152.25888889
10054,A41,Kogru River Airport,70.57611111,-152.27111111
10055,A42,Teshepkuk Lake Airport,70.35833333,-153.19666667
10056,A43,Trident Basin Seaplane Base,57.78083333,-152.39111111
10058,A45,Lake Florence Airport,57.81666667,-134.58333333
10059,A46,Lake Hasselborg Airport,57.70000000,-134.26666667
10060,A47,Distin Lake Airport,57.61666667,-134.36666667
10061,A48,Port Hobron Airport,57.15000000,-153.15000000
10062,A49,Mooseville Airstrip Airport,70.28444444,-152.21194444
10063,A50,Big Bay Airport,58.56250000,-152.59611111
10064,A51,Wien Lake Airport,64.35277778,-151.27500000
10065,A52,Silver Salmon Creek Airport,59.96388889,-152.68222222
10066,A53,Blear Lake Airport,64.33333333,-147.50000000
10067,A54,Cannery Bay Airport,53.68333333,-166.75000000
10069,A56,Johnsons Landing,56.03666667,-160.26611111
10070,A57,International Seafoods Airport,58.26666667,-157.53333333
10070,VZK,International Seafoods Airport,58.26666667,-157.53333333
10071,A58,Cosna River Airport,64.50000000,-151.66666667
10072,A59,Ivatuk Airport,68.48777778,-155.75750000
10074,A61,Cape Sarichef AFS,54.58333333,-164.91250000
10074,A61,Cape Sarichef Airport,54.58250000,-164.91444444
10075,A62,Taylor Mountain,60.86777778,-157.39194444
10076,A63,Coal Creek,65.31111111,-143.13527778
10076,A63,Coal Creek,65.31138889,-143.13555556
10076,A63,Coal Creek,65.31138889,-143.13555556
10076,A63,Coal Creek,65.31166667,-143.13416667
10076,A63,Coal Creek,65.31166667,-143.13416667
10078,A65,Karluk Portage Airport,57.53833333,-154.16444444
10079,A66,Hope Airport,60.90416667,-149.62388889
10079,A66,Hope Airport,60.90416667,-149.62388889
10079,A66,Hope Airport,60.90555556,-149.62388889
10079,A66,Hope Airport,60.90722222,-149.62277778
10079,A66,Hope Airport,60.90722222,-149.62277778
10080,A67,Viekoda Bay Airport,57.84944444,-153.11527778
10082,A69,Cathedral Strip,55.74000000,-162.12527778
10083,A70,Village Islands Airport,57.77416667,-153.54472222
10084,A71,Bear Cove Farm,59.73833333,-151.03000000
10085,A72,Chinitna Bay Airport,59.83333333,-152.58472222
10086,A73,McKinley National Park,63.73250000,-148.91055556
10087,A74,Dog Fish Bay,59.24111111,-151.87722222
10088,A75,Malina Bay Airport,58.17194444,-152.89416667
10089,A76,Red Fox Bay Airport,58.46444444,-152.59305556
10090,A77,Shearwater Airport,57.34333333,-152.89722222
10091,A78,Lake,71.03000000,-154.44361111
10092,A79,Cape Simpson No. 1,71.50166667,-154.03388889
10093,A80,Cape Simpson No. 7,70.57388889,-155.32138889
10094,A81,Cape Simpson #1,70.66277778,-154.83666667
10095,A82,Nikiski Private Airstrip,60.69027778,-151.28888889
10096,A83,Petrof Point Airport,59.37638889,-150.76500000
10097,A84,Denali West Lodge Private,63.75555556,-147.93000000
10098,A85,Big River Airport,61.85944444,-154.27666667
10100,A87,Carry Inlet Airport,58.58305556,-152.44583333
10102,A89,Montague Island Airport,59.92500000,-147.51666667
10103,A90,Shannon Pond Airport,59.03916667,-158.46388889
10104,A91,Omalik Lagoon Airport,69.15555556,-163.49722222
10105,A92,Omolik Lagoon Airport,69.14805556,-163.51027778
10106,A93,Bradley Lake Project Airport,59.79166667,-151.26666667
10107,A94,Ice Strip,70.57416667,-155.31805556
10108,A95,Ice Strip,70.31194444,-153.24916667
10109,A96,Ice Strip,70.98083333,-157.09500000
10110,A97,Akulik Air Strip,68.98555556,-163.47972222
10111,A98,Deadfall Air Strip,69.17083333,-163.25638889
10112,A99,Eagle Creek Airport,68.67666667,-162.64694444
10113,AA1,Ice Kong,59.95277778,-162.61694444
10116,AA4,Glacier Split,59.63333333,-151.20833333
10117,AA5,Selby Lake Airport,66.95583333,-155.61500000
10118,AAA,Anaa Airport,-17.35388889,-145.50972222
10118,AAA,Anaa Airport,-17.35250000,-145.51000000
10119,AAB,Arrabury Station,-26.70000000,141.04166667
10120,AAC,El Arish International,31.05555556,33.82750000
10120,AAC,El Arish International,31.07333333,33.83583333
10120,AAC,El Arish International,31.07638889,33.83333333
10121,AAE,Rabah Bitat,36.82166667,7.81000000
10121,AAE,Rabah Bitat,36.82222222,7.80944444
10121,AAE,Rabah Bitat,36.82944444,7.81388889
10122,AAF,Apalachicola Regional,29.72750000,-85.02750000
10122,AAF,Apalachicola Regional,29.72750000,-85.02750000
10122,AAF,Apalachicola Regional Cleve Randolph Field,29.72750000,-85.02750000
10122,AAF,Apalachicola Regional Cleve Randolph Field,29.72750000,-85.02750000
10123,AAH,Aachen Merzbruck,50.82305556,6.18750000
10123,AAH,Aachen Merzbrueck,50.82166667,6.18416667
10123,AAH,Aachen Merzbrueck,50.82305556,6.18750000
10123,AAH,Aachen Merzbrueck,50.82305556,6.18750000
10123,AAH,Aachen/Merzbruck,50.82305556,6.18611111
10123,AAH,Aachen/Merzbruck,50.82305556,6.18611111
10123,AAH,Aachen/Merzbruck,50.82305556,6.18750000
10124,AAI,Arraias Airport,-13.02583333,-46.88361111
10124,AAI,Arraias Airport,-13.02583333,-46.88361111
10124,AAI,Arraias Airport,-13.02500000,-46.88416667
10124,AAI,Arraias Airport,-13.02500000,-46.88416667
10124,AAI,Arraias Airport,-12.91666667,-46.93333333
10125,AAL,Aalborg Airport,57.09277778,9.84916667
